ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,280.2287728181287,276.5362886956337,274.4677941888379,268.92674410555185
2022-06-01 00:10,281.5648508222873,277.5031939001079,274.5069371941809,267.2846600613715
2022-06-01 00:20,282.89653043717374,277.74798657174784,274.66326455906744,264.9199712581794
2022-06-01 00:30,284.99111572230504,277.3314263236555,274.7251494343365,261.8390912557366
2022-06-01 00:40,285.8461762224254,278.85848695109894,273.2188822220718,259.45140427100324
2022-06-01 00:50,284.50690294210045,277.96451265500616,271.88842784961736,258.15072450123307
2022-06-01 01:00,283.0418535227138,276.75031428089636,271.65123212286755,257.93836924309323
2022-06-01 01:10,282.07372588615533,275.9630222826512,271.3508942291198,258.3897341315742
2022-06-01 01:20,280.0003194404016,275.5773615680666,271.05768953200453,258.71675370949595
2022-06-01 01:30,278.731286926467,274.4374531915692,270.18905359934627,260.0259733487482
2022-06-01 01:40,277.56954049264834,274.69174786758265,270.82832794092604,259.8564747095399
2022-06-01 01:50,276.2528252392107,274.33605700945236,270.1837327178637,262.725157111447
2022-06-01 02:00,274.58022338423905,273.88554542973077,270.55914489282765,262.5954995815303
2022-06-01 02:10,274.0702963461928,273.1080681275419,270.16224820574183,262.2759008868296
2022-06-01 02:20,273.5988571675697,272.4734397472967,269.4721426621788,262.09491436785294
2022-06-01 02:30,274.62015589671597,273.01185396174714,269.7448913841534,262.08387066258797
2022-06-01 02:40,274.843999192465,272.68738740644477,269.4764906725872,261.6700512834131
2022-06-01 02:50,275.4406491923612,272.5837388724258,269.3760443736409,260.12823272795544
2022-06-01 03:00,275.5583777065922,272.7220785407778,268.6462026718258,258.95415774988675
2022-06-01 03:10,275.96372225102294,273.27533632680866,268.3403221215541,258.0976755549077
2022-06-01 03:20,276.10166430428,273.05312698727676,267.21327769495065,257.29646063785134
2022-06-01 03:30,276.6171430630055,272.3189665988112,266.34238553130984,255.56524716894336
2022-06-01 03:40,276.35096608525356,272.4987645199466,266.2410976222573,255.00942308828357
2022-06-01 03:50,275.704853199759,271.9978335352442,265.3218735761111,254.04058436570676
2022-06-01 04:00,274.36514797565366,270.9694602656694,265.02346632479384,254.1813920217995
2022-06-01 04:10,273.62648908453536,270.45645792744926,266.31905236221525,254.1764123041776
2022-06-01 04:20,273.6643545196529,270.54044691371183,265.82634597014464,254.2443050077548
2022-06-01 04:30,273.14606134430915,270.4024515941673,265.9499852935307,255.37271684947663
2022-06-01 04:40,272.94017274109586,270.56007072779266,265.57327011987815,256.21771621306715
2022-06-01 04:50,273.1392015937402,270.51001540673303,266.3833570416876,257.5323413186643
2022-06-01 05:00,273.3969289660472,270.66478609061534,266.9340138011919,257.2383252615996
2022-06-01 05:10,273.33815195169916,270.4617339690632,266.0943361334722,256.17933861089176
2022-06-01 05:20,273.503890747252,270.8143503639682,265.6199768468123,255.4784228967405
2022-06-01 05:30,273.56081138516595,270.7090782523057,264.1101676927167,255.15942933544778
2022-06-01 05:40,273.8243380083584,271.0184275157607,264.09394998849115,254.68732008781217
2022-06-01 05:50,273.6986071734051,270.2365313258151,264.64347021172676,254.23371542156175
2022-06-01 06:00,273.5492431709817,270.55500065428726,264.35335068686294,254.6808107713414
2022-06-01 06:10,273.80076589209705,270.1896817575223,264.60250380496865,254.26403870965547
2022-06-01 06:20,273.57978446480263,270.09337202663556,264.6271596477093,253.77160815797436
2022-06-01 06:30,273.3018636742071,269.89697714693256,262.9840146857422,253.2596113863715
2022-06-01 06:40,273.21974679901365,269.6686548100783,262.47606747868406,252.0637151862624
2022-06-01 06:50,272.7934114886184,269.38113291085267,262.2002432185927,252.50554418944907
2022-06-01 07:00,273.43853840563713,269.61428601373404,263.1147119846733,251.41941052937065
2022-06-01 07:10,273.61124060649485,269.32629078003237,263.0093676415441,252.93404732985718
2022-06-01 07:20,274.1442749114963,269.63412255852035,263.5388525033921,251.50682974476408
2022-06-01 07:30,273.7363096441641,269.6940779155443,264.050194056288,252.16093950126714
2022-06-01 07:40,272.67469523932357,269.27525832566585,264.3738618571392,253.8646639280045
2022-06-01 07:50,272.8081051268103,269.31146394176056,264.10691079039896,255.41957258127235
2022-06-01 08:00,273.0622351974788,269.47741361809454,265.584892936241,259.8031709898587
2022-06-01 08:10,277.9975208813579,269.8947099743592,266.29081130535377,278.17810822954226
2022-06-01 08:20,277.7683066608366,275.4092103748152,271.6510747781342,284.79178779088005
2022-06-01 08:30,276.18513242376974,274.1631573989857,272.1029484835212,292.73858667003975
2022-06-01 08:40,274.3441504874379,275.4857950574721,280.6008288042712,298.559514863403
2022-06-01 08:50,272.84603757276517,283.40722012585053,287.21822810870447,300.73209180423373
2022-06-01 09:00,277.9577382334764,286.7011078337522,293.70278768380086,303.7592747448718
2022-06-01 09:10,282.930088653288,291.3587729722781,299.27583818498755,304.98765647838445
2022-06-01 09:20,298.5369396704173,297.25120088711265,304.3305209899045,308.16995284976923
2022-06-01 09:30,321.018006772226,306.9145705404579,311.30810798663884,311.4488287171622
2022-06-01 09:40,329.5563063608683,319.60092124104125,314.882313708213,312.68799312514204
2022-06-01 09:50,335.46752480427097,328.00139207051876,321.57941472493025,312.6388026351199
2022-06-01 10:00,339.6391896875564,335.68089261583214,328.09805949660097,309.58807083689504
2022-06-01 10:10,344.5605943469894,337.44017257522125,330.49701053602666,305.05619984501027
2022-06-01 10:20,350.15737285591075,339.153590414795,334.5425467868503,300.6079199131911
2022-06-01 10:30,351.803454869667,342.3391109117046,336.40869431425284,296.03634741370035
2022-06-01 10:40,354.55777108264743,345.3744634132907,337.45553899387784,293.5832315920139
2022-06-01 10:50,353.6903401640091,345.7555457653442,334.3890247329811,295.7309738602046
2022-06-01 11:00,351.3754895990413,344.3651300538553,334.1932779942823,298.24326936825776
2022-06-01 11:10,347.7914576904174,338.4464129655657,327.9577534504354,300.88557365326756
2022-06-01 11:20,338.1707919798813,330.3810017369736,323.09735731378055,304.61589545287535
2022-06-01 11:30,330.1806211286105,322.91840654510764,319.2388008539064,305.93937080639756
2022-06-01 11:40,324.60838751601676,320.0382250851082,317.28679875126386,301.6822490947925
2022-06-01 11:50,315.73404521607534,315.78305122750305,312.2394383447346,301.5417792576947
2022-06-01 12:00,311.54790243195976,311.72398767569956,308.72835800313794,300.0059028149001
2022-06-01 12:10,309.8525353773584,309.546837702242,307.89997016982585,299.68981946278535
2022-06-01 12:20,307.93828296368713,307.68257528307447,306.3395985568572,297.47265817995594
2022-06-01 12:30,309.57107186032493,308.203621882254,304.9157440534652,295.26435293013253
2022-06-01 12:40,311.12395934133906,308.32490309646795,303.4083108535632,292.0106552622662
2022-06-01 12:50,311.2040506373294,307.0305361791057,302.5220126961031,288.6826760475425
2022-06-01 13:00,308.40930999707547,305.2665685438614,300.2974995073926,284.8003899006931
2022-06-01 13:10,307.3433649435847,302.56916134299814,297.69559484609937,281.03684647450353
2022-06-01 13:20,304.9807313494942,301.168026241131,294.8058482680157,278.77428218009254
2022-06-01 13:30,304.6344600220783,298.822426099052,292.3278382543734,276.00137165641354
2022-06-01 13:40,302.22457296126925,296.0758887522719,289.96061200404284,275.1979664318702
2022-06-01 13:50,301.32928378898094,294.5489116629005,289.32612576671625,275.61956170126706
2022-06-01 14:00,299.14164627418666,294.1504541649993,288.9070962223999,275.6802162600209
2022-06-01 14:10,295.52671062088876,291.9496852314547,287.109845317261,273.8995726330558
2022-06-01 14:20,294.4483921813861,291.72801592674,285.4076293206487,276.43784234453045
2022-06-01 14:30,292.80101496109427,290.89639098253303,287.65449120916765,276.28421627024437
2022-06-01 14:40,290.37957655762904,287.28224349011145,285.426702856294,276.5536112554352
2022-06-01 14:50,287.6502776618309,286.7760182708632,284.784009232911,275.468745345168
2022-06-01 15:00,287.706149898105,287.314317825418,284.6345085134858,272.71727911200287
2022-06-01 15:10,288.85887879951315,286.76013122343454,282.5083496098888,271.3969240364246
2022-06-01 15:20,288.58018203859206,286.2182532726229,281.7452176934766,270.5574554007337
2022-06-01 15:30,289.88015154404417,286.26092818617497,281.9309127375671,268.35048460984007
2022-06-01 15:40,288.98337349414334,286.3538895937653,280.9096270900571,267.64017551109504
2022-06-01 15:50,290.1558081664011,285.27894549557186,281.36507235643296,266.13480839576323
2022-06-01 16:00,290.05794992510505,285.5882164930023,280.98408495331836,266.48473315984876
2022-06-01 16:10,287.3822821862113,284.8773059015857,279.62215097498205,264.9114081570184
2022-06-01 16:20,285.49342689339875,282.3495792634702,278.20553317478993,264.29502322744537
2022-06-01 16:30,284.6875110981088,281.1424151866229,277.5024679096848,264.39491740458834
2022-06-01 16:40,284.3796713801014,280.849927642443,276.87219316961307,263.42967843229417
2022-06-01 16:50,284.07978751013843,280.78273241334335,276.0791853932273,263.14822430900466
2022-06-01 17:00,283.1207935423092,280.6459393313759,275.91375974883334,263.89016118305375
2022-06-01 17:10,281.72554120656247,277.5416733561361,275.9418825617808,265.4074005726833
2022-06-01 17:20,281.3599109683448,278.2291822077869,275.9787731584782,264.148046099154
2022-06-01 17:30,279.4898659234,277.1068248434293,275.05124166678587,263.2100914444812
2022-06-01 17:40,278.8268048406918,276.3650463534463,273.68933191556323,262.2769983670226
